index,englisch,link_wikipedia,text,midi,link_midi,flagge,0,1
Belgien,Belgium,https://de.wikipedia.org/wiki/Braban%C3%A7onne,Belgien.txt,belgium.mid,https://www.midiworld.com/download/4069,nan_flag.png,Belgium,100.0
Belize,Belize,https://de.wikipedia.org/wiki/Land_of_the_Free,Belize.txt,belize.mid,https://www.midiworld.com/download/4070,nan_flag.png,Belize,100.0
Benin,Benin,https://de.wikipedia.org/wiki/L%E2%80%99Aube_Nouvelle,Benin.txt,benin.mid,,benin_flag.png,Benin,100.0
Bhutan,Bhutan,https://de.wikipedia.org/wiki/Gyelpoi_tenzhu,Bhutan.txt,bhutan.mid,https://www.midiworld.com/download/4071,bhutan_flag.png,Bhutan,100.0
Bolivien,Bolivia,"https://de.wikipedia.org/wiki/Bolivianos,_el_hado_propicio",Bolivien.txt,bolivia.mid,https://www.midiworld.com/download/4072,nan_flag.png,Bolivia,100.0
Bosnien und Herzegowina,Bosnia and Herzegovina,https://de.wikipedia.org/wiki/Intermeco,Bosnien und Herzegowina.txt,bosnien_herzegowina.mid,,nan_flag.png,,
Botswana,Botswana,https://de.wikipedia.org/wiki/Fatshe_leno_la_rona,Botswana.txt,botswana.mid,https://www.midiworld.com/download/4073,botswana_flag.png,Botswana,100.0
Brasilien,Brazil,https://de.wikipedia.org/wiki/Hino_Nacional_Brasileiro,Brasilien.txt,brazil.mid,https://www.midiworld.com/download/4074,nan_flag.png,Brazil,100.0
Brunei,Brunei,https://de.wikipedia.org/wiki/Allah_Peliharakan_Sultan,Brunei.txt,brunei_darussalam.mid,https://www.midiworld.com/download/4075,brunei_flag.png,Brunei_darussalam,90.0
Bulgarien,Bulgaria,https://de.wikipedia.org/wiki/Mila_Rodino,Bulgarien.txt,bulgaria.mid,https://www.midiworld.com/download/4076,nan_flag.png,Bulgaria,100.0
Burkina Faso,Burkina Faso,https://de.wikipedia.org/wiki/Ditany%C3%A8,Burkina Faso.txt,burkina_faso.mid,,burkina_flag.png,Burkina_faso,92.0
Burundi,Burundi,https://de.wikipedia.org/wiki/Burundi_bwacu,Burundi.txt,burundi.mid,https://www.midiworld.com/download/4078,burundi_flag.png,Burundi,100.0
Chile,Chile,"https://de.wikipedia.org/wiki/Puro,_Chile",Chile.txt,chile.mid,https://www.midiworld.com/download/4082,nan_flag.png,Chile,100.0
Republik China (Taiwan),Greenland Guadeloupe (French),https://de.wikipedia.org/wiki/San_Min_Chu-i,Republik China (Taiwan).txt,taiwan.mid,,nan_flag.png,,
Volksrepublik China,The People's Republic of China,https://de.wikipedia.org/wiki/Marsch_der_Freiwilligen,Volksrepublik China.txt,china.mid,,china_flag.png,China,90.0
Costa Rica,Costa Rica,"https://de.wikipedia.org/wiki/Noble_patria,_tu_hermosa_bandera",Costa Rica.txt,costa_rica.mid,https://www.midiworld.com/download/4085,nan_flag.png,Costa_rica,90.0
Dänemark,Denmark,https://de.wikipedia.org/wiki/Der_er_et_yndigt_land,Dänemark.txt,denmark.mid,https://www.midiworld.com/download/4090,nan_flag.png,Denmark,100.0
Deutschland,Germany,https://de.wikipedia.org/wiki/Deutsche_Nationalhymne,Deutschland.txt,germany.mid,https://www.midiworld.com/download/4100,nan_flag.png,Germany,100.0
Dominica,Dominica,"https://de.wikipedia.org/wiki/Isle_of_Beauty,_Isle_of_Splendour",Dominica.txt,dominica.mid,,nan_flag.png,Dominica,100.0
Dominikanische Republik,Dominican Republic,https://de.wikipedia.org/wiki/Quisqueyanos_valientes,Dominikanische Republik.txt,dominican_republic.mid,https://www.midiworld.com/download/4092,nan_flag.png,Dominican_republic,94.0
Dschibuti,Djibouti,https://de.wikipedia.org/wiki/Nationalhymne_Dschibutis,Dschibuti.txt,djibouti.mid,https://www.midiworld.com/download/4091,djibouti_flag.png,Djibouti,100.0
Ecuador,Ecuador,"https://de.wikipedia.org/wiki/Salve,_Oh_Patria",Ecuador.txt,ecuador.mid,https://www.midiworld.com/download/4093,nan_flag.png,Ecuador,100.0
El Salvador,El Salvador,https://de.wikipedia.org/wiki/Saludemos_la_Patria_orgullosos,El Salvador.txt,el_salvador.mid,https://www.midiworld.com/download/4354,nan_flag.png,El_salvador,91.0
Elfenbeinküste,Côte d’Ivoire,https://de.wikipedia.org/wiki/L%E2%80%99Abidjanaise,Elfenbeinküste.txt,elfenbeinküste.mid,,cote ivoire_flag.png,,
Eritrea,Eritrea,"https://de.wikipedia.org/wiki/Ertra,_Ertra,_Ertra",Eritrea.txt,eritrea.mid,,eritrea_flag.png,,
Estland,Estonia,"https://de.wikipedia.org/wiki/Mu_isamaa,_mu_%C3%B5nn_ja_r%C3%B5%C3%B5m",Estland.txt,estonia.mid,https://www.midiworld.com/download/4095,nan_flag.png,Estonia,100.0
Fidschi,Fiji,https://de.wikipedia.org/wiki/Meda_Dau_Doka,Fidschi.txt,fiji.mid,https://www.midiworld.com/download/4096,nan_flag.png,Fiji,100.0
Finnland,Finland,https://de.wikipedia.org/wiki/Maamme,Finnland.txt,finland.mid,https://www.midiworld.com/download/4097,nan_flag.png,Finland,100.0
Frankreich,France,https://de.wikipedia.org/wiki/Marseillaise,Frankreich.txt,france.mid,https://www.midiworld.com/download/4098,nan_flag.png,France,100.0
Gabun,Gabon,https://de.wikipedia.org/wiki/La_Concorde,Gabun.txt,gabon.mid,,gabon_flag.png,Gabon,100.0
Gambia,Gambia,https://de.wikipedia.org/wiki/For_The_Gambia_Our_Homeland,Gambia.txt,gambia.mid,https://www.midiworld.com/download/4099,gambia_flag.png,Gambia,100.0
Georgien,Georgia,https://de.wikipedia.org/wiki/Tawisupleba,Georgien.txt,georgia.mid,,georgia_flag.png,Georgia,100.0
Ghana,Ghana,https://de.wikipedia.org/wiki/God_Bless_Our_Homeland_Ghana,Ghana.txt,ghana.mid,https://www.midiworld.com/download/4101,ghana_flag.png,Ghana,100.0
Grenada,Grenada,https://de.wikipedia.org/wiki/Hail_Grenada,Grenada.txt,grenada.mid,https://www.midiworld.com/download/4103,nan_flag.png,Grenada,100.0
Griechenland,Greece,https://de.wikipedia.org/wiki/Ymnos_is_tin_Eleftherian,Griechenland.txt,greece.mid,https://www.midiworld.com/download/4102,nan_flag.png,Greece,100.0
Guatemala,Guatemala,https://de.wikipedia.org/wiki/Guatemala_Feliz,Guatemala.txt,guatemala.mid,https://www.midiworld.com/download/4105,nan_flag.png,Guatemala,100.0
Guinea,Guinea,https://de.wikipedia.org/wiki/Libert%C3%A9_(Hymne),Guinea.txt,guinea.mid,,guinea_flag.png,Guinea,100.0
Guinea-Bissau,Guinea-Bissau,https://de.wikipedia.org/wiki/Esta_%C3%A9_a_Nossa_P%C3%A1tria_Bem_Amada,Guinea-Bissau.txt,guinea-bissau.mid,,guinea bissau_flag.png,Guinea-bissau,100.0
Guyana,Guyana,"https://de.wikipedia.org/wiki/Dear_Land_of_Guyana,_of_Rivers_and_Plains",Guyana.txt,guyana.mid,https://www.midiworld.com/download/4106,nan_flag.png,Guyana,100.0
Haiti,Haiti,https://de.wikipedia.org/wiki/La_Dessalinienne,Haiti.txt,haiti.mid,https://www.midiworld.com/download/4107,nan_flag.png,Haiti,100.0
Honduras,Honduras,https://de.wikipedia.org/wiki/Nationalhymne_von_Honduras,Honduras.txt,honduras.mid,https://www.midiworld.com/download/4108,nan_flag.png,Honduras,100.0
Indien,India,https://de.wikipedia.org/wiki/Jana_Gana_Mana,Indien.txt,india.mid,https://www.midiworld.com/download/4112,india_flag.png,India,100.0
Indonesien,Indonesia,https://de.wikipedia.org/wiki/Indonesia_Raya,Indonesien.txt,indonesi.mid,https://www.midiworld.com/download/4113,indonesia_flag.png,Indonesi,94.0
Irak,Iraq,https://de.wikipedia.org/wiki/Mautini,Irak.txt,iraq.mid,https://www.midiworld.com/download/4115,iraq_flag.png,Iraq,100.0
Iran,Iran,https://de.wikipedia.org/wiki/Soroud-e_Melli-ye_Dschomhuri-ye_Eslami-e_Iran,Iran.txt,iran.mid,https://www.midiworld.com/download/4114,iran_flag.png,Iran,100.0
Irland,Ireland,https://de.wikipedia.org/wiki/Amhr%C3%A1n_na_bhFiann,Irland.txt,ireland.mid,https://www.midiworld.com/download/4116,nan_flag.png,Ireland,100.0
Island,Iceland,https://de.wikipedia.org/wiki/Lofs%C3%B6ngur,Island.txt,ireland.mid,https://www.midiworld.com/download/4111,nan_flag.png,Ireland,86.0
Israel,Israel,https://de.wikipedia.org/wiki/HaTikwa,Israel.txt,israel.mid,https://www.midiworld.com/download/4117,israel_flag.png,Israel,100.0
Italien,Italy,https://de.wikipedia.org/wiki/Fratelli_d%E2%80%99Italia,Italien.txt,italy.mid,https://www.midiworld.com/download/4118,nan_flag.png,Italy,100.0
Jamaika,Jamaica,"https://de.wikipedia.org/wiki/Jamaica,_Land_We_Love",Jamaika.txt,jamaica.mid,https://www.midiworld.com/download/4119,nan_flag.png,Jamaica,100.0
Japan,Japan,https://de.wikipedia.org/wiki/Kimi_Ga_Yo,Japan.txt,japan.mid,https://www.midiworld.com/download/4120,japan_flag.png,Japan,100.0
Jemen,Yemen,https://de.wikipedia.org/wiki/Nationalhymne_Jemens,Jemen.txt,yemen.mid,,yemen_flag.png,Yemen,100.0
Jordanien,Jordan,https://de.wikipedia.org/wiki/As-salam_al-malaki_al-urduni,Jordanien.txt,jordan.mid,https://www.midiworld.com/download/4121,jordan_flag.png,Jordan,100.0
Kambodscha,Cambodia,https://de.wikipedia.org/wiki/Nokoreach,Kambodscha.txt,cambodia.mid,https://www.midiworld.com/download/4079,cambodia_flag.png,Cambodia,100.0
Kamerun,Cameroon,https://de.wikipedia.org/wiki/Chant_de_Ralliement,Kamerun.txt,cameroon.mid,https://www.midiworld.com/download/4080,cameroon_flag.png,Cameroon,100.0
Kanada,Canada,https://de.wikipedia.org/wiki/O_Canada,Kanada.txt,canada.mid,https://www.midiworld.com/download/4081,nan_flag.png,Canada,100.0
Kap Verde,Cape Verde,https://de.wikipedia.org/wiki/C%C3%A2ntico_da_Liberdade,Kap Verde.txt,cape_verde.mid,,cape verde_flag.png,Cape_verde,90.0
Kasachstan,Kazakhstan,https://de.wikipedia.org/wiki/Mening_Qasaqstanym,Kasachstan.txt,kazakhstan.mid,,kazakhstan_flag.png,,
Katar,Qatar,https://de.wikipedia.org/wiki/As-Salam_al-Amiri,Katar.txt,qatar.mid,https://www.midiworld.com/download/4153,qatar_flag.png,Qatar,100.0
Kenia,Kenya,https://de.wikipedia.org/wiki/Ee_Mungu_Nguvu_Yetu,Kenia.txt,kenya.mid,https://www.midiworld.com/download/4122,kenya_flag.png,Kenya,100.0
Kirgisistan,Kyrgyzstan,https://de.wikipedia.org/wiki/Ak_m%C3%B6ng%C3%BCl%C3%BC%C3%BC_aska,Kirgisistan.txt,kirgistan.mid,,kyrgyzstan_flag.png,,
Kiribati,Kiribati,https://de.wikipedia.org/wiki/Teirake_kaini_Kiribati,Kiribati.txt,kiribati.mid,,nan_flag.png,Kiribati,100.0
Kolumbien,Colombia,https://de.wikipedia.org/wiki/Himno_Nacional_de_la_Rep%C3%BAblica_de_Colombia,Kolumbien.txt,colombia.mid,https://www.midiworld.com/download/4084,nan_flag.png,Colombia,100.0
Komoren,Comoros,https://de.wikipedia.org/wiki/Udzima_wa_ya_Masiwa,Komoren.txt,komoren.mid,,comoros_flag.png,,
Demokratische Republik Kongo,Democratic Republic of the Congo,https://de.wikipedia.org/wiki/Debout_Congolais,Demokratische Republik Kongo.txt,congo.mid,,congo_flag.png,Congo,90.0
Republik Kongo,Republic of the Congo,https://de.wikipedia.org/wiki/La_Congolaise,Republik Kongo.txt,congo.mid,,congo_flag.png,Congo,90.0
Nordkorea,North Korea,https://de.wikipedia.org/wiki/Aegukka,Nordkorea.txt,north korea.mid,https://www.midiworld.com/download/4143,north korea_flag.png,North korea,100.0
Südkorea,South Korea,https://de.wikipedia.org/wiki/Aegukga,Südkorea.txt,south korea.mid,https://www.midiworld.com/download/4162,south korea_flag.png,South korea,100.0
Kosovo,Kosovo,https://de.wikipedia.org/wiki/Evropa,Kosovo.txt,kosovo.mid,,nan_flag.png,,
Kroatien,Croatia,https://de.wikipedia.org/wiki/Lijepa_na%C5%A1a_domovino,Kroatien.txt,croatia.mid,https://www.midiworld.com/download/4086,nan_flag.png,Croatia,100.0
Kuba,Cuba,https://de.wikipedia.org/wiki/La_Bayamesa,Kuba.txt,cuba.mid,https://www.midiworld.com/download/4087,nan_flag.png,Cuba,100.0
Kuwait,Kuwait,https://de.wikipedia.org/wiki/An-Naschid_al-Watani,Kuwait.txt,kuwait.mid,https://www.midiworld.com/download/4123,kuwait_flag.png,Kuwait,100.0
Laos,Laos,https://de.wikipedia.org/wiki/Pheng_Xat_Lao,Laos.txt,laos.mid,https://www.midiworld.com/download/4124,laos_flag.png,Laos,100.0
Lesotho,Lesotho,https://de.wikipedia.org/wiki/Lesotho_Fatse_La_Bontata_Rona,Lesotho.txt,lesotho.mid,https://www.midiworld.com/download/4126,lesotho_flag.png,Lesotho,100.0
Lettland,Latvia,"https://de.wikipedia.org/wiki/Dievs,_sv%C4%93t%C4%AB_Latviju",Lettland.txt,latvia.mid,,nan_flag.png,Latvia,100.0
Libanon,Lebanon,https://de.wikipedia.org/wiki/Kullun%C4%81_li-l-watan_li-l-%CA%BFul%C4%81_li-l-%CA%BFalam,Libanon.txt,lebanon.mid,https://www.midiworld.com/download/4125,lebanon_flag.png,Lebanon,100.0
Liberia,Liberia,"https://de.wikipedia.org/wiki/All_Hail,_Liberia_Hail",Liberia.txt,liberia.mid,https://www.midiworld.com/download/4127,liberia_flag.png,Liberia,100.0
Libyen,Libya,"https://de.wikipedia.org/wiki/Libya,_Libya,_Libya",Libyen.txt,libya.mid,,libya_flag.png,Libya,100.0
Liechtenstein,Liechtenstein,https://de.wikipedia.org/wiki/Oben_am_jungen_Rhein,Liechtenstein.txt,liechtenstein.mid,,nan_flag.png,,
Litauen,Lithuania,https://de.wikipedia.org/wiki/Tauti%C5%A1ka_giesm%C4%97,Litauen.txt,lithuani.mid,,nan_flag.png,Lithuani,94.0
Luxemburg,Luxembourg,https://de.wikipedia.org/wiki/Ons_Heemecht,Luxemburg.txt,luxemb.mid,https://www.midiworld.com/download/4128,nan_flag.png,Luxemb,90.0
Madagaskar,Madagascar,https://de.wikipedia.org/wiki/Ry_Tanindrazanay_Malala_%C3%B4,Madagaskar.txt,madagascar.mid,https://www.midiworld.com/download/4129,madagascar_flag.png,Madagascar,100.0
Malawi,Malawi,https://de.wikipedia.org/wiki/Mulungu_dalitsa_Mala%C5%B5i,Malawi.txt,malawi.mid,https://www.midiworld.com/download/4130,malawi_flag.png,Malawi,100.0
Malaysia,Malaysia,https://de.wikipedia.org/wiki/Negaraku,Malaysia.txt,malaysia.mid,https://www.midiworld.com/download/4131,malaysia_flag.png,Malaysia,100.0
Malediven,Maldives,https://de.wikipedia.org/wiki/Gavmii_mi_ekuverikan_matii_tibegen_kuriime_salaam,Malediven.txt,maldives.mid,,maldives_flag.png,Maldives,100.0
Mali,Mali,"https://de.wikipedia.org/wiki/Pour_l%E2%80%99Afrique_et_pour_toi,_Mali",Mali.txt,mali.mid,,mali_flag.png,Mali,100.0
Malta,Malta,https://de.wikipedia.org/wiki/L-Innu_Malti,Malta.txt,malta.mid,https://www.midiworld.com/download/4132,nan_flag.png,Malta,100.0
Marokko,Morocco,https://de.wikipedia.org/wiki/An-Naschid_asch-Scharif,Marokko.txt,morocco.mid,,morocco_flag.png,Morocco,100.0
Marshallinseln,Marshall Islands,https://de.wikipedia.org/wiki/Forever_Marshall_Islands,Marshallinseln.txt,marshall_islands.mid,,nan_flag.png,,
Mauretanien,Mauritania,https://de.wikipedia.org/wiki/Nationalhymne_Mauretaniens,Mauretanien.txt,maurit.mid,,mauritania_flag.png,Maurit,90.0
Mauritius,Mauritius,https://de.wikipedia.org/wiki/Motherland,Mauritius.txt,maurit.mid,,mauritius island_flag.png,Maurit,90.0
Mexiko,Mexico,https://de.wikipedia.org/wiki/Himno_Nacional_Mexicano,Mexiko.txt,mexico.mid,https://www.midiworld.com/download/4133,nan_flag.png,Mexico,100.0
Mikronesien,Micronesia,https://de.wikipedia.org/wiki/Patriots_of_Micronesia,Mikronesien.txt,micrones.mid,,nan_flag.png,Micrones,89.0
Republik Moldau,"Moldova, Republic of",https://de.wikipedia.org/wiki/Limba_Noastr%C4%83,Republik Moldau.txt,moldova.mid,,nan_flag.png,Moldova,90.0
Monaco,Monaco,https://de.wikipedia.org/wiki/Hymne_Mon%C3%A9gasque,Monaco.txt,monaco.mid,https://www.midiworld.com/download/4135,nan_flag.png,Monaco,100.0
Mongolei,Mongolia,https://de.wikipedia.org/wiki/Nationalhymne_der_Mongolei,Mongolei.txt,mongolia.mid,https://www.midiworld.com/download/4136,mongolia_flag.png,Mongolia,100.0
Montenegro,Montenegro,https://de.wikipedia.org/wiki/Oj_svijetla_majska_zoro,Montenegro.txt,montenegro.mid,,nan_flag.png,,
Mosambik,Mozambique,https://de.wikipedia.org/wiki/P%C3%A1tria_Amada,Mosambik.txt,mozamb.mid,https://www.midiworld.com/download/4137,mozambique_flag.png,Mozamb,90.0
Myanmar,Myanmar,https://de.wikipedia.org/wiki/Gba_Majay_Bma,Myanmar.txt,myanmar.mid,,myanmar_flag.png,Myanmar,100.0
Namibia,Namibia,"https://de.wikipedia.org/wiki/Namibia,_Land_of_the_Brave",Namibia.txt,namibia.mid,,namibia_flag.png,Namibia,100.0
Nauru,Nauru,https://de.wikipedia.org/wiki/Nauru_Bwiema,Nauru.txt,nauru.mid,,nan_flag.png,Nauru,100.0
Nepal,Nepal,https://de.wikipedia.org/wiki/Nationalhymne_Nepals,Nepal.txt,nepal.mid,https://www.midiworld.com/download/4138,nepal_flag.png,Nepal,100.0
Neuseeland,New Zealand,https://de.wikipedia.org/wiki/God_Defend_New_Zealand,Neuseeland.txt,new zealand.mid,https://www.midiworld.com/download/4140,nan_flag.png,New zealand,100.0
Nicaragua,Nicaragua,"https://de.wikipedia.org/wiki/Salve_a_ti,_Nicaragua",Nicaragua.txt,nicaragu.mid,https://www.midiworld.com/download/4141,nan_flag.png,Nicaragu,94.0
Niederlande,Netherlands,https://de.wikipedia.org/wiki/Het_Wilhelmus,Niederlande.txt,netherl.mid,https://www.midiworld.com/download/4139,nan_flag.png,Netherl,90.0
Niger,Niger,https://de.wikipedia.org/wiki/La_Nig%C3%A9rienne,Niger.txt,niger.mid,,niger_flag.png,,
Nigeria,Nigeria,"https://de.wikipedia.org/wiki/Arise_Oh_Compatriots,_Nigeria%E2%80%99s_Call_Obey",Nigeria.txt,nigeria.mid,https://www.midiworld.com/download/4142,nigeria_flag.png,Nigeria,100.0
Nordmazedonien,Macedonia naming dispute,https://de.wikipedia.org/wiki/Denes_nad_Makedonija,Nordmazedonien.txt,macedoni.mid,,nan_flag.png,Macedoni,90.0
Norwegen,Norway,"https://de.wikipedia.org/wiki/Ja,_vi_elsker_dette_landet",Norwegen.txt,norway.mid,https://www.midiworld.com/download/4144,nan_flag.png,Norway,100.0
Oman,Oman,https://de.wikipedia.org/wiki/Nationalhymne_Omans,Oman.txt,oman.mid,https://www.midiworld.com/download/4145,oman_flag.png,Oman,100.0
Österreich,Austria,https://de.wikipedia.org/wiki/%C3%96sterreichische_Bundeshymne,Österreich.txt,australia.mid,https://www.midiworld.com/download/4064,nan_flag.png,Australia,88.0
Osttimor,East Timor,https://de.wikipedia.org/wiki/P%C3%A1tria,Osttimor.txt,osttimor.mid,,east timor_flag.png,,
Pakistan,Pakistan,https://de.wikipedia.org/wiki/Qaumi_Tarana,Pakistan.txt,pakistan.mid,https://www.midiworld.com/download/4146,pakistan_flag.png,Pakistan,100.0
Palästinensische Autonomiegebiete,Palestinian National Authority,https://de.wikipedia.org/wiki/Bil%C4%81d%C4%AB,Palästinensische Autonomiegebiete.txt,,,nan_flag.png,,
Palau,Palau,https://de.wikipedia.org/wiki/Belau_loba_klisiich_er_a_kelulul,Palau.txt,palau.mid,,nan_flag.png,,
Panama,Panama,https://de.wikipedia.org/wiki/Himno_Istme%C3%B1o,Panama.txt,panama.mid,https://www.midiworld.com/download/4147,nan_flag.png,Panama,100.0
Papua-Neuguinea,Papua New Guinea,https://de.wikipedia.org/wiki/O_Arise_All_You_Sons_of_This_Land,Papua-Neuguinea.txt,guinea.mid,https://www.midiworld.com/download/4148,guinea_flag.png,Guinea,90.0
Paraguay,Paraguay,"https://de.wikipedia.org/wiki/Paraguayos,_Rep%C3%BAblica_o_muerte",Paraguay.txt,paraguay.mid,,nan_flag.png,Paraguay,100.0
Peru,Peru,"https://de.wikipedia.org/wiki/Somos_libres,_se%C3%A1moslo_siempre",Peru.txt,peru1.mid,https://www.midiworld.com/download/4149,nan_flag.png,Peru1,89.0
Philippinen,Philippines,https://de.wikipedia.org/wiki/Lupang_Hinirang,Philippinen.txt,philipp.mid,https://www.midiworld.com/download/4150,philippines_flag.png,Philipp,90.0
Polen,Poland,https://de.wikipedia.org/wiki/Mazurek_D%C4%85browskiego,Polen.txt,poland.mid,https://www.midiworld.com/download/4151,nan_flag.png,Poland,100.0
Portugal,Portugal,https://de.wikipedia.org/wiki/A_Portuguesa,Portugal.txt,portugal.mid,https://www.midiworld.com/download/4152,nan_flag.png,Portugal,100.0
Ruanda,Rwanda,https://de.wikipedia.org/wiki/Rwanda_nziza,Ruanda.txt,rwanda.mid,,rwanda_flag.png,Rwanda,100.0
Rumänien,Romania,"https://de.wikipedia.org/wiki/De%C8%99teapt%C4%83-te,_rom%C3%A2ne!",Rumänien.txt,romania.mid,https://www.midiworld.com/download/4154,oman_flag.png,Romania,100.0
Russland,Russia,https://de.wikipedia.org/wiki/Hymne_der_Russischen_F%C3%B6deration,Russland.txt,russia.mid,https://www.midiworld.com/download/4155,russia_flag.png,Russia,100.0
Salomonen,Solomon Islands,https://de.wikipedia.org/wiki/God_Save_Our_Solomon_Islands,Salomonen.txt,salamonen.mid,,nan_flag.png,,
Sambia,Zambia,"https://de.wikipedia.org/wiki/Stand_and_Sing_of_Zambia,_Proud_and_Free",Sambia.txt,zambia.mid,https://www.midiworld.com/download/4189,zambia_flag.png,Zambia,100.0
Samoa,Samoa,https://de.wikipedia.org/wiki/The_Banner_Of_Freedom,Samoa.txt,wsamoa.mid,,nan_flag.png,Wsamoa,91.0
San Marino,San Marino,https://de.wikipedia.org/wiki/Inno_Nazionale_della_Repubblica,San Marino.txt,san marino.mid,https://www.midiworld.com/download/4156,nan_flag.png,San marino,100.0
São Tomé und Príncipe,Sao Tome and Principe,https://de.wikipedia.org/wiki/Independ%C3%AAncia_total,São Tomé und Príncipe.txt,saotome.mid,,sao tome and principe_flag.png,,
Saudi-Arabien,Saudi Arabia,https://de.wikipedia.org/wiki/Saudische_Nationalhymne,Saudi-Arabien.txt,saudi arabia.mid,https://www.midiworld.com/download/4157,saudi arabia_flag.png,Saudi arabia,100.0
Schweden,Sweden,"https://de.wikipedia.org/wiki/Du_gamla,_Du_fria",Schweden.txt,sweden.mid,https://www.midiworld.com/download/4169,nan_flag.png,Sweden,100.0
Schweiz,Switzerland,https://de.wikipedia.org/wiki/Schweizerpsalm,Schweiz.txt,switzer.mid,https://www.midiworld.com/download/4170,nan_flag.png,Switzer,90.0
Senegal,Senegal,"https://de.wikipedia.org/wiki/Pincez_Tous_vos_Koras,_Frappez_les_Balafons",Senegal.txt,senegal.mid,,senegal_flag.png,Senegal,100.0
Serbien,Serbia,https://de.wikipedia.org/wiki/Bo%C5%BEe_Pravde,Serbien.txt,serbien.mid,,nan_flag.png,,
Seychellen,Seychelles,https://de.wikipedia.org/wiki/Koste_Seselwa,Seychellen.txt,seychellen.mid,,seychelles islands_flag.png,,
Sierra Leone,Sierra Leone,"https://de.wikipedia.org/wiki/High_We_Exalt_Thee,_Realm_of_the_Free",Sierra Leone.txt,sierra.mid,https://www.midiworld.com/download/4158,sierra leone_flag.png,Sierra,90.0
Simbabwe,Zimbabwe,https://de.wikipedia.org/wiki/Blessed_be_the_Land_of_Zimbabwe,Simbabwe.txt,zimbabwe.mid,https://www.midiworld.com/download/4190,zimbabwe_flag.png,Zimbabwe,100.0
Singapur,Singapore,https://de.wikipedia.org/wiki/Majulah_Singapura,Singapur.txt,singap.mid,https://www.midiworld.com/download/4159,singapore_flag.png,Singap,90.0
Slowakei,Slovakia,https://de.wikipedia.org/wiki/Nad_Tatrou_sa_bl%C3%BDska,Slowakei.txt,slovakia.mid,,nan_flag.png,Slovakia,100.0
